,r,g(r)
0.050505050505050504,0.050505050505050504,0.0
0.15151515151515152,0.15151515151515152,0.0
0.25252525252525254,0.25252525252525254,0.0
0.35353535353535354,0.35353535353535354,0.0
0.4545454545454546,0.4545454545454546,0.0
0.5555555555555556,0.5555555555555556,0.0
0.6565656565656566,0.6565656565656566,0.0
0.7575757575757576,0.7575757575757576,0.0
0.8585858585858586,0.8585858585858586,0.0
0.9595959595959596,0.9595959595959596,0.0
1.0606060606060606,1.0606060606060606,0.0
1.1616161616161618,1.1616161616161618,0.0
1.2626262626262625,1.2626262626262625,0.0
1.3636363636363638,1.3636363636363638,0.0
1.4646464646464645,1.4646464646464645,0.0
1.5656565656565657,1.5656565656565657,0.0
1.6666666666666665,1.6666666666666665,0.0
1.7676767676767677,1.7676767676767677,0.0
1.8686868686868685,1.8686868686868685,0.0
1.9696969696969697,1.9696969696969697,0.0
2.070707070707071,2.070707070707071,0.0
2.1717171717171717,2.1717171717171717,0.0
2.2727272727272725,2.2727272727272725,0.0
2.3737373737373737,2.3737373737373737,4.3095104540439604e-07
2.474747474747475,2.474747474747475,0.005312624506423071
2.5757575757575757,2.5757575757575757,0.31082866437719714
2.6767676767676765,2.6767676767676765,1.7667321837141123
2.7777777777777777,2.7777777777777777,2.8823905117333353
2.878787878787879,2.878787878787879,2.544320523447904
2.9797979797979797,2.9797979797979797,1.8170378841288801
3.0808080808080804,3.0808080808080804,1.324808920392139
3.1818181818181817,3.1818181818181817,1.0756721557998603
3.282828282828283,3.282828282828283,0.9674162426781171
3.383838383838384,3.383838383838384,0.9232449668561353
3.484848484848485,3.484848484848485,0.9133864320979204
3.5858585858585856,3.5858585858585856,0.9157802989928764
3.686868686868687,3.686868686868687,0.9236948324525907
3.787878787878788,3.787878787878788,0.9375081049315059
3.888888888888889,3.888888888888889,0.9511159883865222
3.98989898989899,3.98989898989899,0.965450367325985
4.090909090909091,4.090909090909091,0.9779495399806108
4.191919191919192,4.191919191919192,0.9888570637168472
4.292929292929292,4.292929292929292,0.9958672812426693
4.3939393939393945,4.3939393939393945,1.0017223674151023
4.494949494949495,4.494949494949495,1.0041441780649203
4.595959595959595,4.595959595959595,1.0052248243852222
4.696969696969697,4.696969696969697,1.0050437910641827
4.797979797979798,4.797979797979798,1.0056017118769944
4.8989898989899,4.8989898989899,1.0047785374058724
5.0,5.0,1.0041170457945787
5.1010101010101,5.1010101010101,1.0052558707010997
5.202020202020202,5.202020202020202,1.0050665010914654
5.303030303030303,5.303030303030303,1.0056837028620516
5.404040404040404,5.404040404040404,1.002444854885218
5.505050505050505,5.505050505050505,0.993701671535215
5.6060606060606055,5.6060606060606055,0.980070007303443
5.707070707070708,5.707070707070708,0.968216573401981
5.808080808080808,5.808080808080808,0.9608301633723813
5.909090909090908,5.909090909090908,0.9605188885036019
6.01010101010101,6.01010101010101,0.9643734882089415
6.111111111111111,6.111111111111111,0.972587702831492
6.212121212121212,6.212121212121212,0.9825077886983418
6.313131313131313,6.313131313131313,0.9919374972485296
6.4141414141414135,6.4141414141414135,1.0016401858044688
6.515151515151516,6.515151515151516,1.0093423435741604
6.616161616161616,6.616161616161616,1.0156936555724418
6.717171717171717,6.717171717171717,1.0209515203302235
6.818181818181818,6.818181818181818,1.023523707351739
6.919191919191919,6.919191919191919,1.02450252048772
7.020202020202021,7.020202020202021,1.0243635158326707
7.121212121212121,7.121212121212121,1.0227062243593381
7.222222222222221,7.222222222222221,1.0196020585144132
7.3232323232323235,7.3232323232323235,1.0160458985142315
7.424242424242424,7.424242424242424,1.0117089647141388
7.525252525252525,7.525252525252525,1.007669570742774
7.626262626262626,7.626262626262626,1.003255296389761
7.727272727272727,7.727272727272727,0.9994724993480248
7.828282828282829,7.828282828282829,0.9957775648226733
7.929292929292929,7.929292929292929,0.9933852770936522
8.030303030303031,8.030303030303031,0.9911590379826908
8.131313131313131,8.131313131313131,0.9897734276047729
8.232323232323232,8.232323232323232,0.9893950341789421
8.333333333333332,8.333333333333332,0.9896818711595526
8.434343434343434,8.434343434343434,0.9908809941986668
8.535353535353536,8.535353535353536,0.9920291024792963
8.636363636363637,8.636363636363637,0.9941671925507799
8.737373737373737,8.737373737373737,0.9956590088635335
8.838383838383837,8.838383838383837,0.9979673375585537
8.93939393939394,8.93939393939394,0.9999506559981389
9.04040404040404,9.04040404040404,1.0013133262330494
9.141414141414142,9.141414141414142,1.0026642300772366
9.242424242424242,9.242424242424242,1.0034013155835684
9.343434343434343,9.343434343434343,1.0039774599846198
9.444444444444445,9.444444444444445,1.004250502478547
9.545454545454545,9.545454545454545,1.003948563903193
9.646464646464647,9.646464646464647,1.0038006848725347
9.747474747474747,9.747474747474747,1.0032657429762406
9.848484848484848,9.848484848484848,1.002876720579941
9.94949494949495,9.94949494949495,1.0021977625620213
